获奖年份,获奖类别（英文）,获奖类别（中文）,奖项,全名,出生日期,出生城市,出生国家,所属组织,逝世日期,逝世地点城市,逝世地点国家
1952,Medicine,医药,1952 年诺贝尔生理学或医学奖,Selman Abraham Waksman,1888-07-22,普里卢卡（新普里卢卡）,俄罗斯帝国（乌克兰）,罗格斯大学,1973-08-16,马萨诸塞州海尼斯,美利坚合众国
1952,Peace,和平,1952 年诺贝尔和平奖,Albert Schweitzer,1875-01-14,凯瑟斯贝格,德国（法国）,,1965-09-04,兰巴雷内,加蓬
1952,Physics,物理,1952 年诺贝尔物理学奖,Felix Bloch,1905-10-23,苏黎世,瑞士,斯坦福大学,1983-09-10,苏黎世,瑞士
1952,Physics,物理,1952 年诺贝尔物理学奖,Edward Mills Purcell,1912-08-30,伊利诺伊州泰勒维尔,美利坚合众国,哈佛大学,1997-03-07,马萨诸塞州剑桥市,美利坚合众国
1953,Chemistry,化学,1953 年诺贝尔化学奖,Hermann Staudinger,1881-03-23,蠕虫,德国,弗莱堡大学,1965-09-08,弗莱堡,西德（德国）
1953,Literature,文学,1953 年诺贝尔文学奖,Sir Winston Leonard Spencer Churchill,1874-11-30,伍德斯托克,英国,,1965-01-24,伦敦,英国
1953,Medicine,医药,1953 年诺贝尔生理学或医学奖,Hans Adolf Krebs,1900-08-25,希尔德斯海姆,德国,谢菲尔德大学,1981-11-22,牛津大学,英国
1953,Medicine,医药,1953 年诺贝尔生理学或医学奖,Fritz Albert Lipmann,1899-06-12,科尼希斯贝格（加里宁格勒）,德国（俄罗斯）,哈佛医学院,1986-07-24,纽约州波基普西,美利坚合众国
1953,Peace,和平,1953 年诺贝尔和平奖,George Catlett Marshall,1880-12-31,宾夕法尼亚州尤尼恩敦,美利坚合众国,,1959-10-16,华盛顿特区,美利坚合众国
1953,Physics,物理,1953 年诺贝尔物理学奖,Frits Zernike,1888-07-16,阿姆斯特丹,荷兰,格罗宁根大学,1966-03-10,格罗宁根,荷兰
1954,Chemistry,化学,1954 年诺贝尔化学奖,Linus Carl Pauling,1901-02-28,俄勒冈州波特兰市,美利坚合众国,加州理工学院（Caltech）,1994-08-19,加利福尼亚州大苏尔,美利坚合众国
1954,Literature,文学,1954 年诺贝尔文学奖,Ernest Miller Hemingway,1899-07-21,伊利诺伊州橡树园,美利坚合众国,,1961-07-02,内华达州凯彻姆,美利坚合众国
1954,Medicine,医药,1954 年诺贝尔生理学或医学奖,John Franklin Enders,1897-02-10,康涅狄格州西哈特福德,美利坚合众国,哈佛医学院,1985-09-08,康涅狄格州沃特福德,美利坚合众国
1954,Medicine,医药,1954 年诺贝尔生理学或医学奖,Thomas Huckle Weller,1915-06-15,密歇根州安阿伯市,美利坚合众国,儿童医学中心传染病研究部,2008-08-23,马萨诸塞州尼德姆,美利坚合众国
1954,Medicine,医药,1954 年诺贝尔生理学或医学奖,Frederick Chapman Robbins,1916-08-25,阿拉巴马州奥本,美利坚合众国,西储大学,2003-08-04,俄亥俄州克利夫兰,美利坚合众国
1954,Peace,和平,1954 年诺贝尔和平奖,Office of the United Nations High Commissioner for Refugees (UNHCR),,,,,,,
1954,Physics,物理,1954 年诺贝尔物理学奖,Max Born,1882-12-11,布雷斯劳（弗罗茨瓦夫）,德国（波兰）,爱丁堡大学,1970-01-05,戈廷根,西德（德国）
1954,Physics,物理,1954 年诺贝尔物理学奖,Walther Bothe,1891-01-08,奥拉宁堡,德国,海德堡大学,1957-02-08,海德堡,西德（德国）
1955,Chemistry,化学,1955 年诺贝尔化学奖,Vincent du Vigneaud,1901-05-18,伊利诺伊州芝加哥,美利坚合众国,康奈尔大学,1978-12-11,纽约州怀特普莱恩斯,美利坚合众国
1955,Literature,文学,1955 年诺贝尔文学奖,Halldór Kiljan Laxness,1902-04-23,雷克雅未克,冰岛,,1998-02-08,雷克雅未克,冰岛
1955,Medicine,医药,1955 年诺贝尔生理学或医学奖,Axel Hugo Theodor Theorell,1903-07-06,林雪平,瑞典,卡罗林斯卡医学院、诺贝尔医学研究所,1982-08-15,斯德哥尔摩,瑞典
1955,Physics,物理,1955 年诺贝尔物理学奖,Willis Eugene Lamb,1913-07-12,加利福尼亚州洛杉矶,美利坚合众国,斯坦福大学,2008-05-15,亚利桑那州图森,美利坚合众国
1955,Physics,物理,1955 年诺贝尔物理学奖,Polykarp Kusch,1911-01-26,布兰肯堡,德国,哥伦比亚大学,1993-03-20,德克萨斯州达拉斯市,美利坚合众国
1956,Chemistry,化学,1956 年诺贝尔化学奖,Sir Cyril Norman Hinshelwood,1897-05-19,伦敦,英国,牛津大学,1967-10-09,伦敦,英国
1956,Chemistry,化学,1956 年诺贝尔化学奖,Nikolay Nikolaevich Semenov,1896-04-03,萨拉托夫,俄罗斯,苏联科学院化学物理研究所,1986-09-25,莫斯科,苏维埃社会主义共和国联盟
1956,Literature,文学,1956 年诺贝尔文学奖,Juan Ramón Jiménez,1881-12-24,莫格,西班牙,,1958-05-29,圣胡安,波多黎各
1956,Medicine,医药,1956 年诺贝尔生理学或医学奖,André Frédéric Cournand,1895-09-24,巴黎,法国,哥伦比亚大学贝尔维尤医院心肺实验室分部,1988-02-19,马萨诸塞州大巴林顿,美利坚合众国
1956,Medicine,医药,1956 年诺贝尔生理学或医学奖,Werner Forssmann,1904-08-29,柏林,德国,美因茨大学,1979-06-01,肖普夫海姆,西德（德国）
1956,Medicine,医药,1956 年诺贝尔生理学或医学奖,Dickinson W. Richards,1895-10-30,新泽西州奥兰治,美利坚合众国,哥伦比亚大学,1973-02-23,康涅狄格州莱克维尔,美利坚合众国
1956,Physics,物理,1956 年诺贝尔物理学奖,William Bradford Shockley,1910-02-13,伦敦,英国,贝克曼仪器公司半导体实验室,1989-08-12,加利福尼亚州帕洛阿尔托,美利坚合众国
1956,Physics,物理,1956 年诺贝尔物理学奖,John Bardeen,1908-05-23,威斯康星州麦迪逊,美利坚合众国,伊利诺伊大学,1991-01-30,马萨诸塞州波士顿,美利坚合众国
1956,Physics,物理,1956 年诺贝尔物理学奖,Walter Houser Brattain,1902-02-10,淘金,中国,贝尔电话实验室,1987-10-13,华盛顿州西雅图,美利坚合众国
1957,Chemistry,化学,1957 年诺贝尔化学奖,Lord (Alexander R.) Todd,1907-10-02,格拉斯哥,苏格兰,剑桥大学,1997-01-10,剑桥,英国
1957,Literature,文学,1957 年诺贝尔文学奖,Albert Camus,1913-11-07,蒙多维,法属阿尔及利亚（阿尔及利亚）,,1960-01-04,感官,法国
1957,Medicine,医药,1957 年诺贝尔生理学或医学奖,Daniel Bovet,1907-03-23,纳沙泰尔,瑞士,公共卫生研究所所长,1992-04-08,罗马,意大利
1957,Peace,和平,1957 年诺贝尔和平奖,Lester Bowles Pearson,1897-04-23,多伦多,加拿大,,1972-12-27,渥太华,加拿大
1957,Physics,物理,1957 年诺贝尔物理学奖,Chen Ning Yang,1922-09-22,何飞、安伟,中国,高等研究所,,,
1957,Physics,物理,1957 年诺贝尔物理学奖,Tsung-Dao (T.D.) Lee,1926-11-24,上海,中国,哥伦比亚大学,,,
1958,Chemistry,化学,1958 年诺贝尔化学奖,Frederick Sanger,1918-08-13,Rendcombe,英国,剑桥大学,2013-11-19,剑桥,英国
1958,Literature,文学,1958 年诺贝尔文学奖,Boris Leonidovich Pasternak,1890-02-10,莫斯科,俄罗斯,,1960-05-30,家庭影院,俄罗斯
1958,Medicine,医药,1958 年诺贝尔生理学或医学奖,George Wells Beadle,1903-10-22,东北部瓦胡,美利坚合众国,加州理工学院（Caltech）,1989-06-09,加利福尼亚州波莫纳,美利坚合众国
1958,Medicine,医药,1958 年诺贝尔生理学或医学奖,Edward Lawrie Tatum,1909-12-14,科罗拉多州博尔德,美利坚合众国,洛克菲勒医学研究所,1975-11-05,纽约州纽约市,美利坚合众国
1958,Medicine,医药,1958 年诺贝尔生理学或医学奖,Joshua Lederberg,1925-05-23,新泽西州蒙特克莱尔,美利坚合众国,威斯康星大学,2008-02-02,纽约州纽约市,美利坚合众国
1958,Peace,和平,1958 年诺贝尔和平奖,Georges Pire,1910-02-10,迪南,比利时,,1969-01-30,鲁汶,比利时
1958,Physics,物理,1958 年诺贝尔物理学奖,Pavel Alekseyevich Cherenkov,1904-07-28,新奇格拉,俄罗斯,列别杰夫物理研究所,1990-01-06,,苏维埃社会主义共和国联盟
1958,Physics,物理,1958 年诺贝尔物理学奖,Igor Yevgenyevich Tamm,1895-07-08,符拉迪沃斯托克,俄罗斯,莫斯科大学,1971-04-12,莫斯科,苏维埃社会主义共和国联盟（俄罗斯）
1958,Physics,物理,1958 年诺贝尔物理学奖,Il´ja Mikhailovich Frank,1908-10-23,列宁格勒（圣彼得堡）,俄罗斯,莫斯科大学,1990-06-22,莫斯科,苏维埃社会主义共和国联盟（俄罗斯）
1959,Chemistry,化学,1959 年诺贝尔化学奖,Jaroslav Heyrovsky,1890-12-20,布拉格,奥匈帝国（捷克共和国）,捷克斯洛伐克科学院极地研究所,1967-03-27,布拉格,捷克斯洛伐克
1959,Literature,文学,1959 年诺贝尔文学奖,Salvatore Quasimodo,1901-08-20,莫迪卡,意大利,,1968-06-14,那不勒斯,意大利
1959,Medicine,医药,1959 年诺贝尔生理学或医学奖,Severo Ochoa,1905-09-24,卢阿尔卡,西班牙,纽约大学医学院,1993-11-01,马德里,西班牙
1959,Medicine,医药,1959 年诺贝尔生理学或医学奖,Arthur Kornberg,1918-03-03,纽约布鲁克林,美利坚合众国,斯坦福大学,2007-10-26,加利福尼亚州斯坦福,美利坚合众国
1959,Peace,和平,1959 年诺贝尔和平奖,Philip J. Noel-Baker,1889-11-01,伦敦,英国,,1982-10-08,伦敦,英国
1959,Physics,物理,1959 年诺贝尔物理学奖,Emilio Gino Segrè,1905-02-01,蒂沃利,意大利,加利福尼亚大学,1989-04-22,加利福尼亚州拉斐特,美利坚合众国
1959,Physics,物理,1959 年诺贝尔物理学奖,Owen Chamberlain,1920-07-10,加利福尼亚州旧金山,美利坚合众国,加利福尼亚大学,2006-02-28,加利福尼亚州伯克利,美利坚合众国
1960,Chemistry,化学,1960 年诺贝尔化学奖,Willard Frank Libby,1908-12-17,科罗拉多州大峡谷,美利坚合众国,加利福尼亚大学,1980-09-08,加利福尼亚州洛杉矶,美利坚合众国
1960,Literature,文学,1960 年诺贝尔文学奖,Saint-John Perse,1887-05-31,皮特尔角,瓜德罗普岛,,1975-09-20,吉恩岛 Presqu'île-de-Giens,法国
1960,Medicine,医药,1960 年诺贝尔生理学或医学奖,Sir Frank Macfarlane Burnet,1899-09-03,特拉拉尔贡,澳大利亚,沃尔特和伊莱扎霍尔医学研究所,1985-08-31,墨尔本,澳大利亚
1960,Medicine,医药,1960 年诺贝尔生理学或医学奖,Peter Brian Medawar,1915-02-28,里约热内卢,巴西,大学学院,1987-10-02,伦敦,英国
1960,Peace,和平,1960 年诺贝尔和平奖,Albert John Lutuli,1898-01-01,布拉瓦约,南罗得西亚（津巴布韦）,,1967-07-21,斯坦杰,南非
1960,Physics,物理,1960 年诺贝尔物理学奖,Donald Arthur Glaser,1926-09-21,俄亥俄州克利夫兰,美利坚合众国,加利福尼亚大学,2013-02-28,加利福尼亚州伯克利,美利坚合众国
1961,Chemistry,化学,1961 年诺贝尔化学奖,Melvin Calvin,1911-04-08,明尼苏达州圣保罗,美利坚合众国,加利福尼亚大学,1997-01-08,加利福尼亚州伯克利,美利坚合众国
1961,Literature,文学,1961 年诺贝尔文学奖,Ivo Andric,1892-10-10,多拉克,波斯尼亚（波斯尼亚和黑塞哥维那）,,1975-03-13,贝尔格莱德,南斯拉夫（塞尔维亚）
1961,Medicine,医药,1961 年诺贝尔生理学或医学奖,Georg von Békésy,1899-06-03,布达佩斯,匈牙利,哈佛大学,1972-06-13,夏威夷州檀香山,美利坚合众国
1961,Peace,和平,1961 年诺贝尔和平奖,Dag Hjalmar Agne Carl Hammarskjöld,1905-07-29,瑞典延雪平,瑞典,,1961-09-18,恩多拉,北罗得西亚（赞比亚）
1961,Physics,物理,1961 年诺贝尔物理学奖,Robert Hofstadter,1915-02-05,纽约州纽约市,美利坚合众国,斯坦福大学,1990-11-17,加利福尼亚州斯坦福,美利坚合众国
1961,Physics,物理,1961 年诺贝尔物理学奖,Rudolf Ludwig Mössbauer,1929-01-31,慕尼黑,德国,技术大学,2011-09-14,,
1962,Chemistry,化学,1962 年诺贝尔化学奖,Max Ferdinand Perutz,1914-05-19,维也纳,奥地利,MRC 分子生物学实验室,2002-02-06,剑桥,英国
1962,Chemistry,化学,1962 年诺贝尔化学奖,John Cowdery Kendrew,1917-03-24,牛津大学,英国,MRC 分子生物学实验室,1997-08-23,剑桥,英国
1962,Literature,文学,1962 年诺贝尔文学奖,John Steinbeck,1902-02-27,加利福尼亚州萨利纳斯,美利坚合众国,,1968-12-20,纽约州纽约市,美利坚合众国
1962,Medicine,医药,1962 年诺贝尔生理学或医学奖,Francis Harry Compton Crick,1916-06-08,北安普顿,英国,MRC 分子生物学实验室,2004-07-28,加利福尼亚州圣地亚哥,美利坚合众国
1962,Medicine,医药,1962 年诺贝尔生理学或医学奖,James Dewey Watson,1928-04-06,伊利诺伊州芝加哥,美利坚合众国,哈佛大学,,,
1962,Medicine,医药,1962 年诺贝尔生理学或医学奖,Maurice Hugh Frederick Wilkins,1916-12-15,庞加罗亚,新西兰,伦敦大学,2004-10-05,伦敦,英国
1962,Peace,和平,1962 年诺贝尔和平奖,Linus Carl Pauling,1901-02-28,俄勒冈州波特兰市,美利坚合众国,加州理工学院（Caltech）,1994-08-19,加利福尼亚州大苏尔,美利坚合众国
1962,Physics,物理,1962 年诺贝尔物理学奖,Lev Davidovich Landau,1908-01-22,巴库,俄罗斯帝国（阿塞拜疆）,科学院,1968-04-01,莫斯科,苏维埃社会主义共和国联盟（俄罗斯）
1963,Chemistry,化学,1963 年诺贝尔化学奖,Karl Ziegler,1898-11-26,赫尔萨,德国,马克斯-普朗克碳研究所（Max Planck Institute for Carbon Research）,1973-08-12,米尔海姆,西德（德国）
1963,Chemistry,化学,1963 年诺贝尔化学奖,Giulio Natta,1903-02-26,英佩里亚,意大利,理工学院,1979-05-02,贝加莫,意大利
1963,Literature,文学,1963 年诺贝尔文学奖,Giorgos Seferis,1900-03-13,士麦娜（伊兹密尔）,奥斯曼帝国,,1971-09-20,雅典,希腊
1963,Medicine,医药,1963 年诺贝尔生理学或医学奖,Sir John Carew Eccles,1903-01-27,墨尔本,澳大利亚,澳大利亚国立大学,1997-05-02,反对,瑞士
1963,Medicine,医药,1963 年诺贝尔生理学或医学奖,Alan Lloyd Hodgkin,1914-02-05,班伯里,英国,剑桥大学,1998-12-20,剑桥,英国
1963,Medicine,医药,1963 年诺贝尔生理学或医学奖,Andrew Fielding Huxley,1917-11-22,汉普斯特德,英国,大学学院,2012-05-30,格兰切斯特,英国
1963,Peace,和平,1963 年诺贝尔和平奖,Comité international de la Croix Rouge (International Committee of the Red Cross),,,,,,,
1963,Peace,和平,1963 年诺贝尔和平奖,Ligue des Sociétés de la Croix-Rouge (League of Red Cross Societies),,,,,,,
1963,Physics,物理,1963 年诺贝尔物理学奖,Eugene Paul Wigner,1902-11-17,布达佩斯,奥匈帝国（匈牙利）,普林斯顿大学,1995-01-01,新泽西州普林斯顿,美利坚合众国
1963,Physics,物理,1963 年诺贝尔物理学奖,Maria Goeppert Mayer,1906-06-28,卡托维茨（卡托维兹）,德国（波兰）,加利福尼亚大学,1972-02-20,加利福尼亚州圣地亚哥,美利坚合众国
1963,Physics,物理,1963 年诺贝尔物理学奖,J. Hans D. Jensen,1907-06-25,汉堡,德国,海德堡大学,1973-02-11,海德堡,西德（德国）
1964,Chemistry,化学,1964 年诺贝尔化学奖,Dorothy Crowfoot Hodgkin,1910-05-12,开罗,埃及,牛津大学、皇家学会,1994-07-29,斯托尔河畔希普斯特,英国
1964,Literature,文学,1964 年诺贝尔文学奖,Jean-Paul Sartre,1905-06-21,巴黎,法国,,1980-04-15,巴黎,法国
1964,Medicine,医药,1964 年诺贝尔生理学或医学奖,Konrad Bloch,1912-01-21,内塞（尼萨）,德国（波兰）,哈佛大学,2000-10-15,马萨诸塞州伯灵顿,美利坚合众国
1964,Medicine,医药,1964 年诺贝尔生理学或医学奖,Feodor Lynen,1911-04-06,慕尼黑,德国,马克斯-普朗克细胞化学研究所,1979-08-06,慕尼黑,德国
1964,Peace,和平,1964 年诺贝尔和平奖,Martin Luther King Jr.,1929-01-15,佐治亚州亚特兰大,美利坚合众国,,1968-04-04,田纳西州孟菲斯市,美利坚合众国
1964,Physics,物理,1964 年诺贝尔物理学奖,Charles Hard Townes,1915-07-28,南卡罗来纳州格林维尔,美利坚合众国,麻省理工学院（MIT）,2015-01-27,加利福尼亚州伯克利,美利坚合众国
1964,Physics,物理,1964 年诺贝尔物理学奖,Nicolay Gennadiyevich Basov,1922-12-14,乌斯曼,苏维埃社会主义共和国联盟（俄罗斯）,列别杰夫物理研究所,2001-07-01,莫斯科,俄罗斯
1964,Physics,物理,1964 年诺贝尔物理学奖,Aleksandr Mikhailovich Prokhorov,1916-07-11,阿瑟顿,澳大利亚,列别杰夫物理研究所,2002-01-08,莫斯科,俄罗斯
1965,Chemistry,化学,1965 年诺贝尔化学奖,Robert Burns Woodward,1917-04-10,马萨诸塞州波士顿,美利坚合众国,哈佛大学,1979-07-08,马萨诸塞州剑桥市,美利坚合众国
1965,Literature,文学,1965 年诺贝尔文学奖,Mikhail Aleksandrovich Sholokhov,1905-05-24,维申斯卡亚,俄罗斯,,1984-02-21,维申斯卡亚,苏维埃社会主义共和国联盟
1965,Medicine,医药,1965 年诺贝尔生理学或医学奖,François Jacob,1920-06-17,南希,法国,巴斯德研究所,2013-04-19,巴黎,法国
1965,Medicine,医药,1965 年诺贝尔生理学或医学奖,André Lwoff,1902-05-08,艾奈堡,法国,巴斯德研究所,1994-09-30,巴黎,法国
1965,Medicine,医药,1965 年诺贝尔生理学或医学奖,Jacques Monod,1910-02-09,巴黎,法国,巴斯德研究所,1976-05-31,戛纳,法国
1965,Peace,和平,1965 年诺贝尔和平奖,United Nations Children's Fund (UNICEF),,,,,,,
1965,Physics,物理,1965 年诺贝尔物理学奖,Sin-Itiro Tomonaga,1906-03-31,京都,日本,东京教育大学,1979-07-08,东京,日本
1965,Physics,物理,1965 年诺贝尔物理学奖,Julian Schwinger,1918-02-12,纽约州纽约市,美利坚合众国,哈佛大学,1994-07-16,加利福尼亚州洛杉矶,美利坚合众国
1965,Physics,物理,1965 年诺贝尔物理学奖,Richard P. Feynman,1918-05-11,纽约州纽约市,美利坚合众国,加州理工学院（Caltech）,1988-02-15,加利福尼亚州洛杉矶,美利坚合众国
1966,Chemistry,化学,1966 年诺贝尔化学奖,Robert S. Mulliken,1896-06-07,马萨诸塞州纽伯里波特,美利坚合众国,芝加哥大学,1986-10-31,弗吉尼亚州阿灵顿,美利坚合众国
1966,Literature,文学,1966 年诺贝尔文学奖,Shmuel Yosef Agnon,1888-07-17,布查茨（布查赫）,奥匈帝国（乌克兰）,,1970-02-17,雷霍沃特,以色列
1966,Literature,文学,1966 年诺贝尔文学奖,Nelly Sachs,1891-12-10,柏林,德国,,1970-05-12,斯德哥尔摩,瑞典
1966,Medicine,医药,1966 年诺贝尔生理学或医学奖,Peyton Rous,1879-10-05,马里兰州巴尔的摩,美利坚合众国,洛克菲勒大学,1972-02-16,纽约州纽约市,美利坚合众国
1966,Medicine,医药,1966 年诺贝尔生理学或医学奖,Charles Brenton Huggins,1901-09-22,哈利法克斯,加拿大,芝加哥大学，本-梅癌症研究实验室,1997-01-12,伊利诺伊州芝加哥,美利坚合众国
1966,Physics,物理,1966 年诺贝尔物理学奖,Alfred Kastler,1902-05-03,格布维勒,德国（法国）,诺尔男高级学校,1984-01-07,班铎,法国
1967,Chemistry,化学,1967 年诺贝尔化学奖,Manfred Eigen,1927-05-09,波鸿,德国,马克斯-普朗克物理化学研究所,,,
1967,Chemistry,化学,1967 年诺贝尔化学奖,Ronald George Wreyford Norrish,1897-11-09,剑桥,英国,物理化学研究所,1978-06-07,剑桥,英国
1967,Chemistry,化学,1967 年诺贝尔化学奖,George Porter,1920-12-06,斯坦福斯,英国,英国皇家学会,2002-08-31,坎特伯雷,英国
1967,Literature,文学,1967 年诺贝尔文学奖,Miguel Angel Asturias,1899-10-19,危地马拉城,危地马拉,,1974-06-09,马德里,西班牙
1967,Medicine,医药,1967 年诺贝尔生理学或医学奖,Ragnar Granit,1900-10-30,赫尔辛基,俄罗斯帝国（芬兰）,卡罗林斯卡学院,1991-03-12,斯德哥尔摩,瑞典
1967,Medicine,医药,1967 年诺贝尔生理学或医学奖,Haldan Keffer Hartline,1903-12-22,宾夕法尼亚州布卢姆斯堡,美利坚合众国,洛克菲勒大学,1983-03-17,马里兰州法尔斯顿,美利坚合众国
1967,Medicine,医药,1967 年诺贝尔生理学或医学奖,George Wald,1906-11-18,纽约州纽约市,美利坚合众国,哈佛大学,1997-04-12,马萨诸塞州剑桥市,美利坚合众国
1967,Physics,物理,1967 年诺贝尔物理学奖,Hans Albrecht Bethe,1906-07-02,斯特拉斯堡,德国（法国）,康奈尔大学,2005-03-06,纽约州伊萨卡,美利坚合众国
1968,Chemistry,化学,1968 年诺贝尔化学奖,Lars Onsager,1903-11-27,克里斯蒂安尼亚（奥斯陆）,挪威,耶鲁大学,1976-10-05,佛罗里达州科勒尔盖布尔斯,美利坚合众国
1968,Literature,文学,1968 年诺贝尔文学奖,Yasunari Kawabata,1899-06-11,大阪,日本,,1972-04-16,Zushi,日本
1968,Medicine,医药,1968 年诺贝尔生理学或医学奖,Robert W. Holley,1922-01-28,伊利诺伊州厄巴纳,美利坚合众国,康奈尔大学,1993-02-11,加利福尼亚州洛斯加托斯,美利坚合众国
1968,Medicine,医药,1968 年诺贝尔生理学或医学奖,Har Gobind Khorana,1922-01-09,拉普尔,印度,威斯康星大学,2011-11-09,马萨诸塞州康科德,美利坚合众国
1968,Medicine,医药,1968 年诺贝尔生理学或医学奖,Marshall W. Nirenberg,1927-04-10,纽约州纽约市,美利坚合众国,美国国立卫生研究院,2010-01-15,纽约州纽约市,美利坚合众国
1968,Peace,和平,1968 年诺贝尔和平奖,René Cassin,1887-10-05,巴约讷,法国,,1976-02-20,巴黎,法国
1968,Physics,物理,1968 年诺贝尔物理学奖,Luis Walter Alvarez,1911-06-13,加利福尼亚州旧金山,美利坚合众国,加利福尼亚大学,1988-09-01,加利福尼亚州伯克利,美利坚合众国
1969,Chemistry,化学,1969 年诺贝尔化学奖,Derek H. R. Barton,1918-09-08,格雷夫森德,英国,帝国学院,1998-03-16,德克萨斯州学院站,美利坚合众国
1969,Chemistry,化学,1969 年诺贝尔化学奖,Odd Hassel,1897-05-17,克里斯蒂安尼亚（奥斯陆）,挪威,奥斯陆大学,1981-05-11,挪威奥斯陆,挪威
1969,Economics,经济,1969 年瑞典银行经济科学奖,Ragnar Frisch,1895-03-03,挪威奥斯陆,挪威,奥斯陆大学,1973-01-31,挪威奥斯陆,挪威
1969,Economics,经济,1969 年瑞典银行经济科学奖,Jan Tinbergen,1903-04-12,海牙,荷兰,荷兰经济学院,1994-06-09,海牙,荷兰
1969,Literature,文学,1969 年诺贝尔文学奖,Samuel Beckett,1906-04-13,都柏林,爱尔兰,,1989-12-22,巴黎,法国
1969,Medicine,医药,1969 年诺贝尔生理学或医学奖,Max Delbrück,1906-09-04,柏林,德国,加州理工学院（Caltech）,1981-03-09,加利福尼亚州帕萨迪纳,美利坚合众国
1969,Medicine,医药,1969 年诺贝尔生理学或医学奖,Alfred D. Hershey,1908-12-04,密歇根州奥沃索,美利坚合众国,华盛顿卡内基研究所,1997-05-22,纽约州 Syosset,美利坚合众国
1969,Medicine,医药,1969 年诺贝尔生理学或医学奖,Salvador E. Luria,1912-08-13,都灵,意大利,麻省理工学院（MIT）,1991-02-06,马萨诸塞州列克星敦,美利坚合众国
1969,Peace,和平,1969 年诺贝尔和平奖,International Labour Organization (I.L.O.),,,,,,,
1969,Physics,物理,1969 年诺贝尔物理学奖,Murray Gell-Mann,1929-09-15,纽约州纽约市,美利坚合众国,加州理工学院（Caltech）,,,
